event_type,level,trigger,description,file,line,recommendation
ConversationEvents.DOCUMENT_PROCESSING_STARTED,INFO,src/muxi/formation/artifacts/processor.py:176,Creating artifact from file: {file_path},src/muxi/formation/artifacts/processor.py,176,
ConversationEvents.DOCUMENT_PROCESSING_STARTED,WARNING,src/muxi/services/llm/llm.py:1425,"Failed to convert files, using basic processing",src/muxi/services/llm/llm.py,1425,
ConversationEvents.EXCLUSION_RULES_GENERATED,INFO,src/muxi/services/scheduler/parser.py:964,Exclusion rules generation completed,src/muxi/services/scheduler/parser.py,964,
ConversationEvents.EXCLUSION_RULES_GENERATION_STARTED,INFO,src/muxi/services/scheduler/parser.py:938,Starting exclusion rules generation,src/muxi/services/scheduler/parser.py,938,
ConversationEvents.GENERAL,WARNING,src/muxi/formation/overlord/chat_orchestrator.py:383,Forcing sync mode: No webhook URL configured or provided,src/muxi/formation/overlord/chat_orchestrator.py,383,
ConversationEvents.MCP_SERVER_REGISTERED,INFO,src/muxi/formation/overlord/mcp_coordinator.py:428,MCP server '{server_id}' registered successfully,src/muxi/formation/overlord/mcp_coordinator.py,428,
ConversationEvents.MCP_SERVER_UNREGISTERED,INFO,src/muxi/formation/overlord/mcp_coordinator.py:539,MCP server '{server_id}' unregistered successfully,src/muxi/formation/overlord/mcp_coordinator.py,539,
ConversationEvents.MCP_TOOL_CALLED,INFO,src/muxi/formation/server/routes/admin/mcp.py:382,MCP tool '{tool_call.tool}' executed successfully via API,src/muxi/formation/server/routes/admin/mcp.py,382,
ConversationEvents.MCP_TOOL_CALL_COMPLETED,INFO,src/muxi/formation/agents/agent.py:1234,Executed planned step: {step.get('action')},src/muxi/formation/agents/agent.py,1234,
ConversationEvents.MCP_TOOL_CALL_COMPLETED,INFO,src/muxi/formation/agents/agent.py:2899,Agent {self.agent_id} completed tool call {tool_name},src/muxi/formation/agents/agent.py,2899,
ConversationEvents.MCP_TOOL_CALL_COMPLETED,INFO,src/muxi/services/mcp/service.py:675,NO DESCRIPTION,src/muxi/services/mcp/service.py,675,
ConversationEvents.MCP_TOOL_CALL_FAILED,ERROR,src/muxi/formation/agents/agent.py:1911,Tool call execution failed: {str(e)},src/muxi/formation/agents/agent.py,1911,
ConversationEvents.MCP_TOOL_CALL_FAILED,ERROR,src/muxi/formation/agents/agent.py:2944,Agent {self.agent_id} tool call failed: {str(e)},src/muxi/formation/agents/agent.py,2944,
ConversationEvents.MCP_TOOL_CALL_FAILED,ERROR,src/muxi/formation/artifacts/extractor.py:297,Error processing tool result: {str(e)},src/muxi/formation/artifacts/extractor.py,297,
ConversationEvents.MCP_TOOL_CALL_FAILED,ERROR,src/muxi/formation/server/routes/admin/mcp.py:420,MCP tool '{tool_call.tool}' configuration error: required component not available,src/muxi/formation/server/routes/admin/mcp.py,420,
ConversationEvents.MCP_TOOL_CALL_FAILED,ERROR,src/muxi/formation/server/routes/admin/mcp.py:461,MCP tool '{tool_call.tool}' unexpected error: {type(e).__name__},src/muxi/formation/server/routes/admin/mcp.py,461,
ConversationEvents.MCP_TOOL_CALL_FAILED,ERROR,src/muxi/services/mcp/service.py:649,NO DESCRIPTION,src/muxi/services/mcp/service.py,649,
ConversationEvents.MCP_TOOL_CALL_FAILED,ERROR,src/muxi/services/mcp/service.py:700,NO DESCRIPTION,src/muxi/services/mcp/service.py,700,
ConversationEvents.MCP_TOOL_CALL_FAILED,WARNING,src/muxi/formation/server/routes/admin/mcp.py:404,MCP tool '{tool_call.tool}' validation error: {str(e)},src/muxi/formation/server/routes/admin/mcp.py,404,
ConversationEvents.MCP_TOOL_CALL_FAILED,WARNING,src/muxi/formation/server/routes/admin/mcp.py:441,MCP tool '{tool_call.tool}' missing required argument: {str(e)},src/muxi/formation/server/routes/admin/mcp.py,441,
ConversationEvents.MCP_TOOL_CALL_STARTED,DEBUG,src/muxi/formation/artifacts/extractor.py:54,Processing tool result: {tool_name} (success: {success}),src/muxi/formation/artifacts/extractor.py,54,
ConversationEvents.MCP_TOOL_CALL_STARTED,DEBUG,src/muxi/services/mcp/service.py:595,Executing tool with user credentials for {server_id},src/muxi/services/mcp/service.py,595,
ConversationEvents.MCP_TOOL_CALL_STARTED,INFO,src/muxi/formation/agents/agent.py:2819,Agent {self.agent_id} invoking tool {tool_name},src/muxi/formation/agents/agent.py,2819,
ConversationEvents.MCP_TOOL_CALL_STARTED,INFO,src/muxi/services/mcp/service.py:461,MCP tool invocation started: {tool_name} on {server_id},src/muxi/services/mcp/service.py,461,
ConversationEvents.MEMORY_LONG_TERM_DELETION_FAILED,WARNING,src/muxi/services/memory/long_term.py:1000,Long-term memory deletion failed - memory not found,src/muxi/services/memory/long_term.py,1000,
ConversationEvents.MEMORY_LONG_TERM_ENHANCED,DEBUG,src/muxi/formation/memory/persistent_manager.py:81,Long-term memory storage completed,src/muxi/formation/memory/persistent_manager.py,81,
ConversationEvents.MEMORY_LONG_TERM_ENHANCED,DEBUG,src/muxi/formation/memory/persistent_manager.py:115,Long-term memory storage completed,src/muxi/formation/memory/persistent_manager.py,115,
ConversationEvents.MEMORY_LONG_TERM_ENHANCED,DEBUG,src/muxi/services/memory/extractor.py:579,Successfully called long_term_memory.add,src/muxi/services/memory/extractor.py,579,
ConversationEvents.MEMORY_LONG_TERM_ENHANCED,INFO,src/muxi/services/memory/long_term.py:485,Long-term memory storage started,src/muxi/services/memory/long_term.py,485,
